From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Aon,1 hour 23 mins,2025-07-03 06:30:34.255642,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 06:30:34.255642,driving,,36 mins
Harpur Lane,Aon,1 hour 18 mins,2025-07-03 06:45:36.007268,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 06:45:36.007268,driving,,39 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-03 07:00:37.865504,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 07:00:37.865504,driving,,41 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-03 07:15:39.685748,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 07:15:39.685748,driving,,44 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-03 07:30:41.794757,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 07:30:41.794757,driving,,46 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-03 07:45:43.726998,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 07:45:43.726998,driving,,49 mins
Harpur Lane,Aon,1 hour 20 mins,2025-07-03 08:00:45.829483,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 08:00:45.829483,driving,,47 mins
Harpur Lane,Aon,1 hour 13 mins,2025-07-03 08:15:47.678971,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 08:15:47.678971,driving,,46 mins
Harpur Lane,Aon,1 hour 23 mins,2025-07-03 08:30:49.622963,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 08:30:49.622963,driving,,44 mins
Harpur Lane,Aon,1 hour 23 mins,2025-07-03 08:45:51.643795,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 08:45:51.643795,driving,,43 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-03 09:00:54.146693,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 09:00:54.146693,driving,,42 mins
